Date,Open,Close Adj
2020-03-01,8.37,8.37
2020-03-02,8.37,8.95
2020-03-03,8.95,8.73
2020-03-04,8.73,8.73
2020-03-05,8.73,8.73
2020-03-06,8.73,8.16
2020-03-07,8.16,8.06
2020-03-08,8.06,8.87
2020-03-09,8.87,8.6
2020-03-10,8.6,8.71
2020-03-11,8.71,8.71
2020-03-12,8.71,8.71
2020-03-13,8.71,8.83
2020-03-14,8.83,8.21
2020-03-15,8.21,8.18
2020-03-16,8.18,8.18
2020-03-17,8.18,8.3
2020-03-18,8.3,8.3
2020-03-19,8.3,8.3
2020-03-20,8.3,8.29
2020-03-21,8.29,8.61
2020-03-22,8.61,8.14
2020-03-23,8.14,8.29
2020-03-24,8.29,8.37
2020-03-25,8.37,8.37
2020-03-26,8.37,8.37
2020-03-27,8.37,8.2
2020-03-28,8.2,8.51
2020-03-29,8.51,8.59
2020-03-30,8.59,8.05
2020-03-31,8.05,8.61
